,Text,Label
95,"Musuh Jokowi akan TETAP serang Jokowi siapapun cawapresnya, dan akan TETAP dukung siapapun lawan Jokowi. Kalo gak mau diserang mereka, jangan calonkan Jokowi. Jika masih ingin jadikan Jokowi Presiden, dukung dan pilih dia..!! As simple as that. 

#Jokowi2Periode 
#2019TetapJokowi",Positif
96,"@geloraco Done..UYM 
#UnfollowYusufMansur

#2019GantiPresiden 
#UASPilihPrabowo 
#JokowerFitnahKejiUAS",Negatif
97,"Ayo bergerak dibidang masing2, bergerak dengan kemampuan masing2, bergerak dengan cara masing2, bergerak dengan komunitas masing2.. Untuk memenangkan Jokowi. Kita bertekad utk menggenapkan kepemimpinan Jokowi hingga 2 periode..!! 

#Jokowi2Periode 
#2019TetapJokowi",Positif
98,"@KingPurwa Folbek boleh dong,  ya gak! 
#2019GantiPresiden 
#UASdifitnahKejiBalasDiTPS",Negatif
99,#01JokowiAmin #2019tetapjokowi,Positif
100,"Jangan golput... Besuk ke TPS, Tusuk Prabowo Sandi 

#bismillah 
#2019GantiPresiden 
#2019PrabowoSandiMenang🚩 
#2019prabowopresiden 
#IndonesiaMenangAdilMakmur 
#INAobserverelectionSOS… https://t.co/zHsqjFl7cd",Negatif
101,"Jangan biarkan Indonesia tercinta terpecah belah oleh isu SARA . 
#2019jokowilanjut 
#2019TetapJokowi 
#2019JokowiMaruf 
#2019JokowiMarufAmin",Positif
102,"@MrJemPoll53 @Drogba69034016 @anto_winarno @AT_AbdillahToha @AgungWidrajat Jokower fitnah terus kerjanya.
#2019GantiPresiden https://t.co/VQNTLrtaTe",Negatif
103,@PollingLagi #2019GantiPresiden  02,Negatif
104,"Teruslah istiqomah &amp; selalu berprasangka baik terhadap realitas yang ada &amp; yg terus berkembang. Yang terpenting... 

#2019TetapJokowi 
#2019PilihJokowi",Positif
105,"Pak Prabowo debat sama Pak Jokowi atau SBY yahhh? 
Aduhhhhhh, kawan politik kok malah diserang

#PrabowoHinaSBY #SBYDisalahinPrabowo #JokowiMenangTotalDebat #2019tetapjokowi #jokowi #pilpres2019 #nkri #jokowimaruf #jokowi2periode #prabowo #debatpilpres2019 #prabowosandi2019 https://t.co/JcyPjHstbZ",Positif
106,"Pendapatku bakal nyungsep senyungsep-nyungsepnya,
Tenggelam sedalam-dalamnya.. Aamiin

#JokowerFitnahKejiUAS 
#BesokTusukPrabowoSandi 
#BesokLebaranAkalSehat 
#RabuGantiPresiden 
#2019GantiPresiden 
#2019PrabowoSandi https://t.co/wZ0ZKteF69",Negatif
107,"Oyasuminasai...
#2019GantiPresiden https://t.co/mKKZyZuCb0",Negatif
108,"https://t.co/ul5bMxC8OQ
Salam02 @prabowo @sandiuno 
#GerakanSubuhAkbarIndonesia
#BismillahInsyaAllahPrabowo 
#2019PrabowoPresident08 
#BesokPrabowoMenang #BesokTusukPrabowoSandi 
#RabuGantiPresiden 
#2019GantiPresiden 
#SayaSihOptimis02Menang 
#JagaTPSMenangkan02 #TuesdayThoughts",Negatif
109,"KH. Ma'ruf Amin selain Ulama, beliau juga Ketua Umum NU yang merupakan ormas Islam terbesar. 

#2019jokowilanjut 
#2019TetapJokowi 
#2019JokowiMaruf 
#2019JokowiMarufAmin",Positif
110,"Kalau mau mendukung kubu sebelah ya silahkan sj...itu hak anda. 

#2019TetapJokowi",Positif
111,"Jangan biarkan Indonesia tercinta terpecah belah oleh isu SARA . 

#2019jokowilanjut 
#2019TetapJokowi 
#2019JokowiMaruf 
#2019JokowiMarufAmin",Positif
112,"ngemiss minta di izibkan masuk ka'bah hehe....

tenang aj sejarah akan terulang kog...
tahun kmrn najib pm malaysia pemilu masuk ka'bah GAGAL!

#2019GantiPresiden 
#2019PrabowoSandiMenang",Negatif
113,"buat kami cukup sudah Ahok yang kalian fitnah.. Jika kalian ""mengganggu"" pak Jokowi, Kami akan fight, ingat : ini Presiden Jokowi yg dicintai rakyatnya, CATAT!!! 

#2019PilihJokowi 
#2019TetapJokowi",Positif
114,"@PollingLagi Iya
#2019GantiPresiden",Negatif
115,@CepotRezim @Yusri_Alkarim Jangan lupa juga #2019GantiPresiden,Negatif
116,@aagym Insya Alloh dengan ijin Allah dan Ridho Allah #2019GantiPresiden #2019PrabowoSandiMenang #2019PrabowoPresiden,Negatif
117,"Cukup DKI yg jadi korban kalian... Indonesia jangan sampe... Salam damai 
#2019TetapJokowi
#2019JokowiMaruf
#2019JokowiMaruf
#2019TetapJokowi
#2019TetapJokowi
#2019JokowiMaruf
#2019JokowiMaruf",Positif
118,"Siapa pun Cawapres, intinya Jokowi harus 2 periode. 

#2019jokowilanjut
#2019TetapJokowi 
#2019JokowiMaruf
#2019JokowiMarufAmin",Positif
119,"Jokowi juga sebenarnya ngeliat itu dia, cuma pura"" aja dia, dibawahnya ma udh banjir  🤣🤣🤣
#2019GantiPresiden #GerakanSubuhAkbarIndonesia",Negatif
120,"solat Zuhur berjamaah bersama Bang Sandy.
#02
#insyaallahprabowopresiden
#PrabowoSandiOKBanget 
#2019GantiPresiden https://t.co/n2s8AphL7L",Negatif
121,Aamiin Yaa Mujibas Saai'liin 🙇 #2019GantiPresiden #2019PrabowoSandi #PrabowoSandi #JagaTPSMenangkan02 #PAS02 ✌✔✔ https://t.co/ENATtcUJc8,Negatif
122,@PollingLagi #2019GantiPresiden https://t.co/sUa8F5Wt0z,Negatif
123,"Salam semangat U-16 Kado terindah HUT RI K 73 Salam Merdeka Tetap Merdeka 

#2019TetapJokowi 
#2019TetapJokowi",Positif
124,@agungers2 @CakKhum Kab Bone #2019GantiPresiden,Negatif
125,"Besokk... 

""Kami Komunitas Emak2 Bangun Pagi bikin Sarapan Dan Antar anak sekolah... Siap coblos #PrabowoSandi02 di TPS 👆👆😊

#2019GantiPresiden https://t.co/JBDPa4MOa2",Negatif
126,"@Dahnilanzar Menjaga Nalar ilmiah atau akal sehat yang mempersatukan kita pilih 02 untuk menjaga damai Indonesia...
#BismillahInsyaAllahPrabowo 
#2019GantiPresiden 
#2019PrabowoSandiMenang 
#INAelectionObserverSOS 
#NalarIlmiahMempersatukanIndonesia
#AkalSehatMempersatukanIndonesia",Negatif
127,"Kalau mau mendukung kubu sebelah ya silahkan sj...itu hak anda. 

#2019TetapJokowi",Positif
128,"#JagaTPSKawalHasilSuara
#PrabowoBentengNKRI 
#2019GantiPresiden
Bismillah https://t.co/nYQyQ7y3cU",Negatif
129,"Jokowi_amin 
#2019jokowilanjut 
#2019TetapJokowi
#2019JokowiMaruf 
#2019JokowiMarufAmin",Positif
130,@MSApunya @kordajakbar Terharu besok insyaAllah #2019GantiPresiden,Negatif
131,@Yusri_Alkarim Iya nih. Semoga ya #2019GantiPresiden,Negatif
132,"Bangekkkkk Masih aj yaa  kampanye

pertahana mah bebass yaa...

politisasi agama lagi... sweg

segera akhiri semua pecitraan dan kebohongan ini #2019GantiPresiden",Negatif
133,"Siapa pun Cawapres, intinya Jokowi harus 2 periode.
#2019jokowilanjut
#2019TetapJokowi
#2019JokowiMaruf
#2019JokowiMarufAmin",Positif
134,"Yuk peraiapan #GerakanSubuhAkbarIndonesia 
Menyambut #2019GantiPresiden",Negatif
135,@MardaniAliSera @aniesbaswedan Mardani akan tercatat sejarah sebagai Bapak Nasional pergerakan #2019GantiPresiden,Negatif
136,"melihat sosok KH. Ma'ruf sebagai orang NU yang merupakan ormas Islam terbesar yang masih konsisten menjaga keutuhan NKRI. 
#2019jokowilanjut 
#2019TetapJokowi 
#2019JokowiMaruf 
#2019JokowiMarufAmin",Positif
137,"Inilah calon DPD dan DPR dari Dapil Riau 1 dan Dapil Riau 2 yg layak dipilih utk mewakili dn berjuang utk umat.
#2019GantiPresiden 
#2019GantiParlemen https://t.co/YT7FCxe0Um",Negatif
138,"Ayo yang mau pulsa XL Rp30.000 gratiss.. Mohon bantuan untuk isi kuesioner ini:

https://t.co/3z8m7h3nTt …

👆#2019GantiPresiden #GerakanSubuhAkbarIndonesia #RabuGantiPresiden #TusukPrabowoSandi",Negatif
139,"#2019GantiPresiden 
daendels jadi presiden mantap tuh:v https://t.co/NJaelN5gQ5",Negatif
140,"Melihat sosok KH. Ma'ruf sebagai orang NU yang merupakan ormas Islam terbesar yang masih konsisten menjaga keutuhan NKRI. 

#2019jokowilanjut 
#2019TetapJokowi 
#2019JokowiMaruf 
#2019JokowiMarufAmin",Positif
141,"ada yg mau taruhan pemilu besok?
#Pemilu2019 
#Jokowi2Periode 
#2019GantiPresiden",Negatif
142,"Strategi licik !!!!

#SkenarioKejiPrabowo #siagaSATUkawalTPS #2019tetapjokowi #jokowi #pilpres2019 #nkri #jokowimaruf #jokowi2periode #umkm #ingatjokowi #nawacita #jokowijk #salamsatujempol #prabowo #debatpilpres2019 #prabowosandi2019 #kubuhoax #kecebong #kampret #sandi https://t.co/m7Nrn4GqZU",Positif
143,"Teruslah istiqomah &amp; selalu berprasangka baik terhadap realitas yang ada &amp; yg terus berkembang. Yang terpenting... 

#2019TetapJokowi 
#2019PilihJokowi",Positif
